#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
,Mat:01/01/2028 - Purchased in open market,,,,,
25.14,DALLAS FORT WORTH TX INTL AIRPORT,N/A,"$500,001 -",Interest,"$15,001 -",
,JOINT REV REF-F Mat:11/01/2028 -,,"$1,000,000 ",Capital Gains,"$50,000 ",
,Purchased in open market,,,,,
25.15,PHILADELPHIA PA WTR & WASTEWTRREV,N/A,"$500,001 -",Capital Gains,"$50,001 -",
,REF Mat:11/01/2028 - Purchased in open,,"$1,000,000 ",Interest,"$100,000 ",
,market,,,,,
25.16,ATLANTA GA ARPT PASSENGER FAC CHARGE,N/A,"$100,001 -",Capital Gains,"$5,001 - $15,000",
,SUB LIEN GEN REV REF-A Mat:01/01/2030 -,,"$250,000 ",Interest,,
,Purchased in open market,,,,,
25.17,PORT AUTH N Y & NJ CONSOLIDATED REV,N/A,"$100,001 -",Capital Gains,"$5,001 - $15,000",
,Mat:05/01/2030 - Purchased in open market,,"$250,000 ",Interest,,
25.18,PHILA PENNA ARPT REV SER-A,N/A,"$500,001 -",Capital Gains,"$50,001 -",
,Mat:06/15/2030 - Purchased in open market,,"$1,000,000 ",Interest,"$100,000 ",
25.19,ILLINOIS FIN AUTH REV SER-A,N/A,"$500,001 -",Interest,"$15,001 -",
,Mat:08/15/2030 - Purchased in open market,,"$1,000,000 ",Capital Gains,"$50,000 ",
25.2,ILLINOIS ST SALES TAX JR OBLIGREV REF-D,N/A,"$100,001 -",Interest,"$5,001 - $15,000",
,Mat:06/15/2031 - Purchased in open market,,"$250,000 ",Capital Gains,,
25.21,LOWER ALA GAS PROJ REV-A,N/A,"$250,001 -",Interest,"$15,001 -",
,Mat:09/01/2031 - Purchased in open market,,"$500,000 ",Capital Gains,"$50,000 ",
25.22,CHICAGO ILL MET WTR RECLAMATION DIST,N/A,"$250,001 -",Capital Gains,"$15,001 -",
,GTR REF-A Mat:12/01/2031 - Purchased in,,"$500,000 ",Interest,"$50,000 ",
,open market,,,,,
25.23,METROPOLITAN TRANS AUTH N Y,N/A,"$250,001 -",Capital Gains,"$5,001 - $15,000",
,DEDICATED TAX FD REF REV SER-B3C,,"$500,000 ",Interest,,
,Mat:11/01/2034 - Purchased in open market,,,,,
25.24,NEW MEXICO MUN EGY ACQUISITIONAUTH,N/A,"$250,001 -",Capital Gains,"$15,001 -",
,GAS SUPPLY REV REF-A VAR Mat:11/01/2039,,"$500,000 ",Interest,"$50,000 ",
,#NAME?,,,,,
25.25,METROPOLITAN TRANSN AUTH N Y REV-A-2,N/A,"$250,001 -",Capital Gains,"$5,001 - $15,000",
,ID 03-15-12 Mat:11/15/2041 - Purchased in,,"$500,000 ",Interest,,
,open market,,,,,
26,Brokerage account #3,No,,,,
26.1,TriState Capital Bank (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27,Brokerage account #4,No,,,,
27.1,Citibank N.A. (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27.2,City National Bank (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27.3,Citizens Bank (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27.4,Texas Capital Bank (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27.5,TriState Capital Bank (cash),N/A,None (or less,Interest,None (or less,
,,,"than $1,001)",,than $201),
27.6,General Motors Company - 200 shares /,N/A,None (or less,Dividends,"$50,001 -",
,Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
27.7,"Microsoft - 91,660 shares / Purchased in",N/A,None (or less,Dividends,"Over $1,000,000",
,open market,,"than $1,001)",Capital Gains,,
27.8,Franklin Cnty Wash Pub Util Elec and Pub,N/A,None (or less,Interest,"$201 - $1,000",
,Power Rev 2007 5% - Purchased in open,,"than $1,001)",Capital Gains,,
,market,,,,,
27.9,Franklin Cnty Wash Pub Util Elec and Pub,N/A,None (or less,Interest,"$1,001 - $2,500",
,Power Rev 2007 5% - Purchased in open,,"than $1,001)",Capital Gains,,
,market,,,,,
28,Axon VR - Technology developer / .45% /,N/A,"$100,001 -",,None (or less,
,Direct investment with private,,"$250,000 ",,than $201),
,fund/company,,,,,
29,HelixNano-Convertible Note - Biotechnology,N/A,None (or less,,None (or less,
,"/ $100,000 convertible note / Direct",,"than $1,001)",,than $201),
,investment with private fund/company,,,,,
30,Golf Club membership,N/A,"$50,001 -",,None (or less,
,,,"$100,000 ",,than $201),
31,"Buffalo Jump Ranch and Management, LLC",N/A,"$250,001 -",,None (or less,
,(1% Int) - Real Estate - Personal Residence/,,"$500,000 ",,than $201),
,Direct investment,,,,,
32,"Undeveloped land, Barlett, NH",N/A,"$50,001 -",,None (or less,
,,,"$100,000 ",,than $201),
33,"WME VENTURE CAPITAL, LP",No,,,,
33.1,Forge - Loan company,No,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
33.2,"Glossier Inc. (Into the Gloss, Inc.) - Online",No,"$15,001 -",,None (or less,
,beauty products,,"$50,000 ",,than $201),
33.3,"JAND, Inc. - Online retail of eyeglasses and",No,"$1,001 - $15,000",,None (or less,
,sunglasses,,,,than $201),
33.4,"Ollie Pets, Inc. - Dog food industry",No,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
33.5,Project September - Mobile shopping app,No,"$1,001 - $15,000",,None (or less,
,,,,,than $201),
33.6,"Telepathic, Inc. - Story telling and reading",No,"$1,001 - $15,000",,None (or less,
,application software,,,,than $201),
33.7,Ubeam Inc. - Wireless charging system,No,"$15,001 -",,None (or less,
,,,"$50,000 ",,than $201),
33.8,"Viyet, Inc. - Online high-end furniture",No,"$1,001 - $15,000",,None (or less,
,consignment marketplace,,,,than $201),
33.9,"Within (f.k.a. VRSE, Inc.) - Online platform for",No,"$1,001 - $15,000",,None (or less,
,creating and distributing virtual reality films,,,,than $201),
33.1,"Yanka Industries, Inc. - A privately-held",No,"$1,001 - $15,000",,None (or less,
,company that operates in the online,,,,than $201),
,education services industry,,,,,
33.11,"ZenPayroll, Inc (DBA Gusto) - Payroll",No,"$15,001 -",,None (or less,
,software,,"$50,000 ",,than $201),
34,U.S. Bank Account #1 (cash) - PRIME,N/A,None (or less,Interest,None (or less,
,CHECKING ACCOUNT,,"than $1,001)",,than $201),
35,U.S. Bank Account #2 (cash) - HIGH YIELD,N/A,None (or less,Interest,None (or less,
,SAVINGS,,"than $1,001)",,than $201),
36,U.S. Bank Account #3 (cash) - PRIVATE,N/A,"$1,001 - $15,000",Interest,None (or less,
,BANKING INTEREST CHECKING (JOINT ACCT,,,,than $201),
,WITH SPOUSE),,,,,
37,U.S. Bank Account #4 (cash) - PRIVATE,N/A,"$1,001 - $15,000",Interest,None (or less,
,BANKING INTEREST CHECKING,,,,than $201),
38,U.S. Bank Account #5 (cash) - PRIVATE,N/A,"$1,001 - $15,000",Interest,None (or less,
,BANKING INTEREST CHECKING (JOINT ACCT),,,,than $201),
39,Vanguard Account,No,,,,
39.1,Vanguard Federal MMKT Fund (Settlement,Yes,None (or less,,None (or less,
,Fund),,"than $1,001)",,than $201),
39.2,#NAME?,Yes,"$15,001 -",,None (or less,
,,,"$50,000 ",,than $201),
39.3,- Vanguard Dividend Appreciation ETF -,Yes,"$50,001 -",,"$2,501 - $5,000",
,Purchased in open market,,"$100,000 ",,,
39.4,#NAME?,Yes,"$100,001 -",,"$1,001 - $2,500",
,market,,"$250,000 ",,,
39.5,- Vanguard High Dividend Yield ETF -,Yes,"$100,001 -",,"$2,501 - $5,000",
,Purchased in open market,,"$250,000 ",,,
39.6,- Vanguard Information Technology ETF -,Yes,None (or less,,"$50,001 -",
,500 shares sold / purchased in open market,,"than $1,001)",,"$100,000 ",
39.7,#NAME?,Yes,"$50,001 -",,"$1,001 - $2,500",
,in open market,,"$100,000 ",,,
39.8,- Vanguard S&P 500 Index ETF New -,Yes,"$50,001 -",,"$2,501 - $5,000",
,Purchased in open market,,"$100,000 ",,,
39.9,- Vanguard Total Intl Stock Index Fund ETF -,Yes,"$15,001 -",,"$2,501 - $5,000",
,Purchased in open market,,"$50,000 ",,,
39.1,- Netflix Inc - 875 shares sold / purchased in,N/A,None (or less,Dividends,"$100,001 -",
,open market,,"than $1,001)",Capital Gains,"$1,000,000 ",
39.11,"- New Relic Inc - 1,700 shares sold /",N/A,None (or less,Dividends,"$50,001 -",
,purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
39.12,- Tableau Software Inc - 700 shs sold /,N/A,None (or less,Dividends,"$15,001 -",
,purchased in open market,,"than $1,001)",Capital Gains,"$50,000 ",
39.13,"- Workday Inc CL A - 1,000 shares sold /",N/A,None (or less,Dividends,"$50,001 -",
,purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
40,"LIVESTAR NOTES, LLC (Joint with spouse) -",No,None (or less,,None (or less,
,Mobile app developer / 4.37% of LLC capital,,"than $1,001)",,than $201),
,/ Direct investment with private,,,,,
,fund/company,,,,,
41,"KATANA CAPITAL PARTNERS, LP - Private",No,None (or less,Capital Gains,"$100,001 -",
,Equity Firm / 2.63% of LP capital / Direct,,"than $1,001)",,"$1,000,000 ",
,investment with private fund/company,,,,,
42,FACT LABS  (Convertible Promissory Note) -,No,None (or less,,None (or less,
,Online database / Direct investment with,,"than $1,001)",,than $201),
,private fund/company,,,,,
43,HUMAN VENTURES LLC - Venture capital,No,None (or less,None (or less,,
,firm investing in technology start ups /,,"than $1,001)",than $201),,
,352.9877 shs / Direct investment with,,,,,
,private fund/company,,,,,
44,"WME VENTURE CAPITAL, LP - Venture capital",No,,,,
,firm / 1.1547% / Direct investment with,,,,,
,private fund/company,,,,,
44.1,#NAME?,No,"$1,001 - $15,000",None (or less,,
,,,,than $201),,
44.2,#NAME?,No,"$15,001 -",None (or less,,
,beauty products,,"$50,000 ",than $201),,
44.3,#NAME?,No,"$1,001 - $15,000",None (or less,,
,sunglasses,,,than $201),,
44.4,#NAME?,No,"$1,001 - $15,000",None (or less,,
,,,,than $201),,
44.5,#NAME?,No,"$1,001 - $15,000",None (or less,,
,,,,than $201),,
44.6,#NAME?,No,"$1,001 - $15,000",None (or less,,
,application software,,,than $201),,
44.7,#NAME?,No,"$15,001 -",None (or less,,
,,,"$50,000 ",than $201),,
44.8,#NAME?,No,"$1,001 - $15,000",None (or less,,
,consignment marketplace,,,than $201),,
44.9,#NAME?,No,"$1,001 - $15,000",None (or less,,
,for creating and distributing virtual reality,,,than $201),,
,films,,,,,
44.1,#NAME?,No,"$1,001 - $15,000",None (or less,,
,company that operates in the online,,,than $201),,
,education services industry,,,,,
44.11,#NAME?,No,"$15,001 -",None (or less,,
,software,,"$50,000 ",than $201),,
45,"DOPPLER LABS, INC - (Joint with spouse)",No,None (or less,Capital Gains,"$50,001 -",
,(Convertible Promissory Note) - Electronics,,"than $1,001)",,"$100,000 ",
,"manufacturer /  52,713 preferred shares /",,,,,
,Direct investment with private,,,,,
,fund/company,,,,,
46,"DWNLD, INC. (Convertible Promissory Note)",No,None (or less,Capital Gains,"$15,001 -",
,#NAME?,,"than $1,001)",,"$50,000 ",
,private fund/company,,,,,
47,"HELIX NANOTECHNOLOGIES, INC",No,None (or less,,None (or less,
,(Convertible Promissory Note) - Biomedicine,,"than $1,001)",,than $201),
,/ Direct investment with private,,,,,
,fund/company,,,,,
48,LEAP TECHNOLOGIES  (Convertible,No,None (or less,Capital Gains,"$50,001 -",
,Promissory Note) / Developer electroactive,,"than $1,001)",,"$100,000 ",
,polymers / Direct investment with private,,,,,
,fund/company,,,,,
49,"PEERSPACE, INC. (Convertible Promissory",No,None (or less,,None (or less,
,Note) - Operates an online marketplace for,,"than $1,001)",,than $201),
,short-term work spaces / Direct investment,,,,,
,with private fund/company,,,,,
50,THEYCALLMESWIFT LLC  (Convertible,No,None (or less,,None (or less,
,"Promissory Note) - Organizing, arranging,",,"than $1,001)",,than $201),
,and conducting hack-a-thon events / Direct,,,,,
,investment with private fund/company,,,,,
51,AERA VC SPC LIMITED - Venture fund / 50,No,None (or less,,None (or less,
,shares / Direct investment with private,,"than $1,001)",,than $201),
,fund/company,,,,,
52,BLOOMZ INC. - Teacher/Parent,No,None (or less,,None (or less,
,"communication app / 113,619 shares /",,"than $1,001)",,than $201),
,Direct investment with private,,,,,
,fund/company,,,,,
53,BUILDCO: NOHO CAPITAL LLC - Venture,No,None (or less,,None (or less,
,capital firm focused on consumer,,"than $1,001)",,than $201),
,businesses / Direct investment with private,,,,,
,fund/company,,,,,
54,"CLASSPASS, INC. (Perferred Shares)- Fitness",No,None (or less,Capital Gains,"$100,001 -",
,"industry / 58,824 shares / Direct investment",,"than $1,001)",,"$1,000,000 ",
,with private fund/company,,,,,
55,CLOUDNC LTD - Computer aided,No,None (or less,Capital Gains,"$50,001 -",
,"manufacturing / 90,904 shares / Direct",,"than $1,001)",,"$100,000 ",
,investment with private fund/company,,,,,
56,"CONNECTED SIGNALS, INC. - Develops an",No,None (or less,,None (or less,
,"application that provides real-time,",,"than $1,001)",,than $201),
,predictive traffic signal data to drivers /,,,,,
,"123,456 shares / Direct investment with",,,,,
,private fund/company,,,,,
57,ELECTRIC OBJECTS INC - SERIES A,No,None (or less,,None (or less,
,PREFERRED STOCK - Makes digital art,,"than $1,001)",,than $201),
,"display via computer design / 17,126 shares",,,,,
,/ Direct investment with private,,,,,
,fund/company,,,,,
58,GOODWORLD - Technology startup,No,None (or less,,None (or less,
,company related to charitabe donations /,,"than $1,001)",,than $201),
,"250,000 shares / Direct investment with",,,,,
,private fund/company,,,,,
59,GWYNNIE BEE INC. -- Preferred Stock -,No,None (or less,,None (or less,
,Provides online women's clothing rental/,,"than $1,001)",,than $201),
,"23,752 shares / Direct investment with",,,,,
,private fund/company,,,,,
60,HOMESUITE INC (Convertible Promssory,No,None (or less,Interest,"$2,501 - $5,000",
,Note)- Online marketplace for furnished,,"than $1,001)",,,
,housing / note / Direct investment with,,,,,
,private fund/company,,,,,
61,"JOSEPHINE (Home cooking, Oakland, CA) -",No,None (or less,,None (or less,
,Online marketplace for home cooked meals,,"than $1,001)",,than $201),
,"/ 50,000 LLC units / Direct investment with",,,,,
,private fund/company,,,,,
62,"PAX LABS, INC. - Electronic cigarette",No,None (or less,Capital Gains,"$15,001 -",
,"company / 13,000 shares / Direct",,"than $1,001)",,"$50,000 ",
,investment with private fund/company,,,,,
63,RESERVE - SERIES A PREFERRED STOCK -,No,None (or less,,None (or less,
,Restaurant app technology company /,,"than $1,001)",,than $201),
,"36,944 shares / Direct investment with",,,,,
,private fund/company,,,,,
64,"SMARTDIGITAL HOLDINGS, INC. (dba Elevate",No,None (or less,,None (or less,
,"Digital) - Technology in designs, develops",,"than $1,001)",,than $201),
,and delivers interactive applications and,,,,,
,connective advertising presented to,,,,,
,consumers on interactive touch screen,,,,,
,digital displays / convertible promissory,,,,,
,notes and warrants / Direct investment with,,,,,
,private fund/company,,,,,
65,TALENTSKY INC. - Operates an online career,No,None (or less,,None (or less,
,"engagement network / 50,000 shares /",,"than $1,001)",,than $201),
,Direct investment with private,,,,,
,fund/company,,,,,
66,TRACTABLE LTD - Technology company /,No,None (or less,,None (or less,
,"73,614 shares / Direct investment with",,"than $1,001)",,than $201),
,private fund/company,,,,,
67,YANKA INDUSTRIES INC. (DBA MasterClass) -,No,None (or less,,None (or less,
,"Online education / 85,015 shares / Direct",,"than $1,001)",,than $201),
,investment with private fund/company,,,,,
68,ANZ (Foreign Acct - New Zealand),No,"$15,001 -",Interest,"$201 - $1,000",
,,,"$50,000 ",,,
69,FIRST NZ CAPITAL (Foreign Acct - New,No,,,,
,Zealand):,,,,,
69.1,"- Auckland Intl Airport Limited - 24,270",No,None (or less,Dividends,"$100,001 -",
,shares sold / Purchased in open market,,"than $1,001)",Capital Gains,"$1,000,000 ",
69.2,"- Contact Energy Limited - 16,350 shares",No,None (or less,Dividends,"$50,001 -",
,sold /  Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
69.3,"- Fletcher Building Limited - 12,485 shares",No,None (or less,Dividends,"$50,001 -",
,sold / Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
69.4,"- Port of Tauranga Limited (NS) - 30,550",No,None (or less,Dividends,"$50,001 -",
,shares sold /  Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
69.5,"- Sky Network Television Limited - 17,395",No,None (or less,Dividends,"$50,001 -",
,shares sold /  Purchased in open market,,"than $1,001)",Capital Gains,"$100,000 ",
69.6,"- Xero Limited - 15,000 shares sold  /",No,None (or less,Dividends,"$100,001 -",
,Purchased in open market,,"than $1,001)",Capital Gains,"$1,000,000 ",
70,New Zealand Land (Joint with spouse),No,"$1,000,001 -",,None (or less,
,,,"$5,000,000 ",,than $201),
71,Onetangi Trust 2 (Foreign Acct - New,No,,,,
,Zealand):,,,,,
71.1,#NAME?,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
71.2,#NAME?,No,"$500,001 -",None (or less,,
,,,"$1,000,000 ",than $201),,
72,NYCA Investment Fund,No,None (or less,None (or less,,
,,,"than $1,001)",than $201),,
72.1,PayRange Inc - Mobile payment system for,N/A,None (or less,None (or less,,
,machines / Direct investment with private,,"than $1,001)",than $201),,
,fund/company,,,,,
72.2,Payoneer Inc - Financial services business,N/A,None (or less,None (or less,,
,that provides online money transfer and e-,,"than $1,001)",than $201),,
,commerce payment services / Direct,,,,,
,investment with private fund/company,,,,,
72.3,One True Holding Company - Technology,N/A,None (or less,None (or less,,
,industry / Direct investment with private,,"than $1,001)",than $201),,
,fund/company,,,,,
72.4,Blend Labs Inc - Mortgage lending industry /,N/A,None (or less,None (or less,,
,Direct investment with private,,"than $1,001)",than $201),,
,fund/company,,,,,
72.5,Orchard App Inc. - Online lending - Direct,N/A,None (or less,None (or less,,
,investment with private fund/company,,"than $1,001)",than $201),,
72.6,Artivest Holdings Inc - Platform to invest in,N/A,None (or less,None (or less,,
,"private funds, private equity, hedge funds",,"than $1,001)",than $201),,
,and venture capital / Direct investment with,,,,,
,private fund/company,,,,,
72.7,Align Commerce Corporation - Online,N/A,None (or less,None (or less,,
,worldwide payment service provider / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.8,Boomtown Networks Inc - Techinical,N/A,None (or less,None (or less,,
,support services for local businesses / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.9,Expedite Financial Inc - Provides a lending,N/A,None (or less,None (or less,,
,platform for home owner's financial data /,,"than $1,001)",than $201),,
,Direct investment with private,,,,,
,fund/company,,,,,
72.1,"Plutus Financial Inc - Develops digital cash,",N/A,None (or less,None (or less,,
,peer to peer money transfer network,,"than $1,001)",than $201),,
,application / Direct investment with private,,,,,
,fund/company,,,,,
72.11,SigFig - Online portfolio manager / Direct,N/A,None (or less,None (or less,,
,investment with private fund/company,,"than $1,001)",than $201),,
72.12,ChangeCoin Inc - Online tipping platform,N/A,None (or less,None (or less,,
,over social media / Direct investment with,,"than $1,001)",than $201),,
,private fund/company,,,,,
72.13,Centripetal Networks Inc - Threat,N/A,None (or less,None (or less,,
,intelligence-based network security,,"than $1,001)",than $201),,
,platform / Direct investment with private,,,,,
,fund/company,,,,,
72.14,Revolution Credit Inc - An engagement,N/A,None (or less,None (or less,,
,platform that helps lenders and consumers,,"than $1,001)",than $201),,
,with the credit decisioning process / Direct,,,,,
,investment with private fund/company,,,,,
72.15,Fundbox Ltd - Technology company offers,N/A,None (or less,None (or less,,
,business owners simple way to fix their cash,,"than $1,001)",than $201),,
,flow by advancing payments for their,,,,,
,outstanding invoices / Direct investment,,,,,
,with private fund/company,,,,,
72.16,OpenFin Inc - Provides runtime technology,N/A,None (or less,None (or less,,
,solutions for financial desktops / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.17,Artivest Holdings Inc Tranche 2 - Platform to,N/A,None (or less,None (or less,,
,"invest in private funds, private equity, hedge",,"than $1,001)",than $201),,
,funds and venture capital / Direct,,,,,
,investment with private fund/company,,,,,
72.18,Pay Range Inc Tranche 2 - Mobile payment,N/A,None (or less,None (or less,,
,system for machines / Direct investment,,"than $1,001)",than $201),,
,with private fund/company,,,,,
72.19,Digit - Technology in automated savings via,N/A,None (or less,None (or less,,
,app / Direct investment with private,,"than $1,001)",than $201),,
,fund/company,,,,,
72.2,EverCompliant Ltd - Provides merchant,N/A,None (or less,None (or less,,
,fraud detection and monitoring / Direct,,"than $1,001)",than $201),,
,investment with private fund/company,,,,,
72.21,Squawker Ltd - Facilitator of transaction-,N/A,None (or less,None (or less,,
,based asset allocation and collateral,,"than $1,001)",than $201),,
,management / Direct investment with,,,,,
