,5.0000% 06/15/19 JD RFDG BEO,,"$50,000 ",,,
2.24,NEW YORK STATE URBAN REV 5.0000%,N/A,"$50,001 -",Interest,"$1,001 - $2,500",
,01/01/20 JJ DEVELOPMENT CORPORATION,,"$100,000 ",,,
,BEO,,,,,
2.25,NEW YORK ST ENVIRONMENTAL FACS REV,N/A,"$50,001 -",Interest,"$1,001 - $2,500",
,5% 05/15/20 MN CORP REV ST REVOLVING,,"$100,000 ",,,
,FDS-SER C BEO,,,,,
2.26,PULASKI N Y CENT SCH DIST GO 3%,N/A,"$50,001 -",Interest,"$1,001 - $2,500",
,06/15/21 JD RFDG LT BEO,,"$100,000 ",,,
2.27,MET TRANSN AUTH N Y REV 5.0000%,N/A,"$50,001 -",Interest,"$1,001 - $2,500",
,11/15/21 MN TRANSN-SER C BEO,,"$100,000 ",,,
2.28,SEWANHAKA CENT HIGH SCH DIST N GO 2%,N/A,"$50,001 -",Interest,None (or less,
,07/15/21 JJ Y ELMONT ETC UT BEO,,"$100,000 ",,than $201),
2.29,P R COMWLTH HGWY & TRANS AUTH REV,,N/A,None (or less,Interest,"$2,501 - $5,000"
,5.5000% 07/01/36 JJ HIGHWAY REV SER Y-,,,"than $1,001)",,
,FSA CR PRERE 07/01/16 FSA,,,,,
2.3,NY CITY TRANSITIONAL FIN AUTH REV,,N/A,None (or less,Interest,"$1,001 - $2,500"
,5.0000% 11/01/16 MN NON DEFEASED,,,"than $1,001)",,
,BALANCE-FUTURE TAX-SUBSER I-2 BEO SUB,,,,,
,LIEN,,,,,
2.31,POWER AUTH OF THE ST OF N Y REV,,N/A,None (or less,Interest,"$2,501 - $5,000"
,5.0000% 11/15/16 MN REVENUE BONDS,,,"than $1,001)",,
,MBIA BEO,,,,,
2.32,NEW YORK STATE MUNICIPAL BOND REV,,N/A,None (or less,Interest,"$1,001 - $2,500"
,5.0000% 12/15/16-CA JD BANK AGENCY,,,"than $1,001)",,
,SUB-SER A1 MK WHLE @ TREASURY RATE,,,,,
,+25BP,,,,,
3,BROKERAGE ACCOUNT #3,,,,,
3.1,GOLDMAN SACHS BANK DEPOSIT (BDA),,N/A,"$15,001 -",Interest,"$201 - $1,000"
,(Cash),,,"$50,000 ",,
3.2,"BRIDGE STREET 2011, L.P.",See Endnote,N/A,"$50,001 -",Interest,"$5,001 - $15,000"
,,,,"$100,000 ",Dividends,
,,,,,Capital Gains,
3.2.1,"Associated Asphalt Partners, LLC - Americas",,N/A,,,
,#NAME?,,,,,
3.2.2,"EdgeMarc Energy Holdings, LLC - Americas -",,N/A,,,
,Energy Industry,,,,,
3.2.3,"Endurance International Group Holdings,",,N/A,,,
,Inc. - Americas - Software Industry,,,,,
3.2.4,Husky International Ltd. - Americas -,,N/A,,,
,Manufacturer,,,,,
3.2.5,Rosslyn Portfolio - Americas - Property,,N/A,,,
,Management/Development,,,,,
3.2.6,"U.S. Security Associates, Inc. - Americas -",,N/A,,,
,Security Services,,,,,
3.2.7,"Gan & Lee Pharmaceutical, Ltd. - Asia -",,N/A,,,
,Pharmaceutical Industry,,,,,
3.2.8,Novast Pharmaceutical Limited - Asia -,,N/A,,,
,Pharmaceutical Industry,,,,,
3.2.9,Qingdao Liqun Department Store Company,,N/A,,,
,#NAME?,,,,,
3.2.10,ReNew Power Ventures Private Limited -,,N/A,,,
,India - Renewable Energy Industry,,,,,
3.2.11,"Cash, Taxes Receivable, Other Assets",See Endnote,N/A,,,
3.3,CIP 2011 Partners,,N/A,"$100,001 -",Dividends,"$5,001 - $15,000"
,,,,"$250,000 ",,
3.3.1,Taikang Insurance Group Inc. - Asia-,,N/A,,,
,Financial Services,,,,,
3.3.2,"Cash, Taxes Receivable",See Endnote,N/A,,,
4,BROKERAGE ACCOUNT #4,,,,,
4.1,GOLDMAN SACHS BANK DEPOSIT (BDA),,N/A,"$1,001 - $15,000",Interest,"$1,001 - $2,500"
,(Cash),,,,,
4.2,DEUTSCHE X-TRACKERS MSCI EAFE EQUITY,,Yes,"$250,001 -",,"$5,001 - $15,000"
,ETF,,,"$500,000 ",,
5,BROKERAGE ACCOUNT #5 (D),,,,,
5.1,GOLDMAN SACHS BANK DEPOSIT (BDA),,N/A,"$1,001 - $15,000",Interest,None (or less
,(Cash),,,,,than $201)
5.2,GS TAX-ADVANTAGED GLOBAL EQUITY,,Yes,"$15,001 -",,"$201 - $1,000"
,PORTFOLIO INSTITUTIONAL CLASS SHARES,,,"$50,000 ",,
6,BROKERAGE ACCOUNT #6 (D),,,,,
6.1,GOLDMAN SACHS BANK DEPOSIT (BDA),,N/A,"$1,001 - $15,000",Interest,None (or less
,(Cash),,,,,than $201)
6.2,GS TAX-ADVANTAGED GLOBAL EQUITY,,Yes,"$15,001 -",,"$201 - $1,000"
,PORTFOLIO INSTITUTIONAL CLASS SHARES,,,"$50,000 ",,
7,BROKERAGE ACCOUNT #7 (J),,,,,
7.1,GOLDMAN SACHS BANK DEPOSIT (BDA),,N/A,"$15,001 -",Interest,"$201 - $1,000"
,(Cash),,,"$50,000 ",,
8,BROKERAGE ACCOUNT #8,,,,,
8.1,GOLDMAN SACHS BANK DEPOSIT (BDA),N/A,None (or less,Interest,"$201 - $1,000",
,(Cash),,"than $1,001)",,,
9,529 Account #1 (D),,,,,
9.1,Virginia 529 -2024 Portfolio (Alleghany),Yes,"$50,001 -",,None (or less,
,,,"$100,000 ",,than $201),
10,529 Account #2 (D),,,,,
10.1,Virginia 529 - 2021 Portfolio (Chesapeake),Yes,"$100,001 -",,None (or less,
,,,"$250,000 ",,than $201),
