6. Other Assets and Income,,,,,
# DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
1.27,Capital One Financial,N/A,None (or less,None (or less,
,,,"than $1,001)",than $201),
1.28,Chevron Corp,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.29,"Cisco Systems, Inc. - Common Stock",N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.3,"Facebook, Inc. - Class A Common Stock",N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.31,General Electric Co,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.32,KRAFT HEINZ COMPANY (KHC),N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.33,Microsoft Corporation - Common Stock,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.34,"Mondelez International, Inc. - Class A",N/A,"$1,001 - $15,000",None (or less,
,Common Stock,,,than $201),
1.35,NIKE Inc B,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.36,PEABODY ENERGY CORP (BTUUQ),N/A,None (or less,,
,,,"than $1,001)",,
1.37,Philip Morris International,N/A,"$1,001 - $15,000","$201 - $1,000",
1.38,Rockwell Automation Inc,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
1.39,Procter & Gamble,N/A,"$1,001 - $15,000",None (or less,
,,,,than $201),
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
1.4,Thermo Fisher Scientific,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.41,Union Pacific Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.42,Visa Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.43,Wells Fargo & Co,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.44,BP PLC ADR (BP),N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.45,NESTLE SA ADR (NSRGY),N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.46,iShares Core MSCI Emerging Markets ETF,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.47,iShares Barclays 1-3 Year Credit Bond,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.48,ISHARES TR CORE S&P US ETF (IUSG),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.49,iShares Barclays Intermediate Credit Bd,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.5,VANGUARD REIT ETF (VNQ),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.51,VANGUARD SMALL CAP ETF (VB),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.52,Medtronic Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.53,NXP Semiconductors N.V. - Common Stock,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.54,Schlumberger Ltd,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
1.55,TE Connectivity Ltd.,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
2,INVESTMENT ACCT (Dependent Child),No,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",Interest,
2.1,APPLE INC. STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
2.2,BB&T CORP STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
2.3,CATEPILLAR INC. STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
2.4,MCDONALDS CORP. STOCK,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
2.5,ISHARES TR CORE S&P500 ETF (IVV),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
2.6,ISHARES TR CORE HIGH DV ETF (HDV),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
3,INVESTMENT ACCT (Dependent Child),No,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",Interest,
3.1,MCDONALDS CORP. STOCK,N/A,None (or less,,None (or less
,,,"than $1,001)",,than $201)
3.2,ISHARES TR CORE S&P500 ETF (IVV),Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
4,INVESTMENT ACCT (Dependent Child),No,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",Interest,
4.1,MCDONALDS CORPORATION,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
4.2,ISHARES TR CORE S&P500 ETF (IVV),Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
5,SEP,No,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",Capital Gains,
,,,,Interest,
5.1,ISHARES TR CORE S&P SCP ETF (IJR),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
5.2,SPDR SERIES TRUST S&P DIVID ETF,Yes,"$1,001 - $15,000",,"$201 - $1,000"
5.3,iShares Dow Jones US Financial Services,Yes,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
5.4,SPDR S&P Bank ETF,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
6,LOUIS K TIMOLAT TRUST,No,"$250,001 -",Dividends,"$5,001 - $15,000"
,,,"$500,000 ",,
6.1,MONEY MARKT DEPOSIT ACCOUNT,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.2,ABERDEEN TOTAL RETURN BOND FUND,N/A,"$15,001 -",,None (or less
,CLASS I,,"$50,000 ",,than $201)
6.3,NUVEEN HIGH YIELD MUNICIPAL BOND,N/A,"$15,001 -",,None (or less
,FUND CLASS R,,"$50,000 ",,than $201)
6.4,NUVEEN VIRGINIA MUNICIPAL BOND FUND,N/A,"$15,001 -",,None (or less
,CLASS I,,"$50,000 ",,than $201)
6.5,PUTNAM FLOATING RATE INC FUND 1857,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.6,WELLS FARGO ULTRA SHORT TERM,N/A,"$15,001 -",,None (or less
,MUNICIPAL INCOME FUND CLASS INST 3107,,"$50,000 ",,than $201)
6.7,ASHMORE EMERGING MARKETS,N/A,"$1,001 - $15,000",,None (or less
,CORPORATE DEBT FUND CLASS-INS,,,,than $201)
6.8,PIMCO EMERGING MARKETS BOND FUND-,N/A,"$1,001 - $15,000",,None (or less
,INSTL 137,,,,than $201)
6.9,COMCAST CORP CLASS A,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.1,HOME DEPOT INC,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.11,TARGET CORP,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.12,WALT DISNEY CO,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.13,PROCTOR & GAMBLE CO,N/A,"$100,001 -",,None (or less
,,,"$250,000 ",,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
6.14,EXXON MOBIL CORP,N/A,"$50,001 -",,None (or less
,,,"$100,000 ",,than $201)
6.15,JP MORGAN CHASE & CO,N/A,"$100,001 -",,None (or less
,,,"$250,000 ",,than $201)
6.16,BRISTOL MYERS SQUIBB CO,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.17,GILEAD SCIENCES INC,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.18,JOHNSON & JOHNSON,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.19,MERCK & CO INC NEW,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
6.2,EMERSON ELECTRIC CO,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.21,UNION PACIFIC CORP,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.22,UNITED TECHNOLOGIES CORP,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.23,3M CO COM,N/A,"$50,001 -",,None (or less
,,,"$100,000 ",,than $201)
6.24,ALPHABET INC CL C,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.25,APPLE INC,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.26,CISCO SYSTEMS INV,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.27,COGNIZANT TECH SOLTIONS CRP COM,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.28,MICROSOFT CORP,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.29,SCHLUMBERGER LTD,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
6.3,ABERDEEN EMERGING MARKETS,N/A,"$15,001 -",,None (or less
,INSTITUTIONAL FUND,,"$50,000 ",,than $201)
6.31,HARBOR INTERNATIONAL FUND CLASS,N/A,"$15,001 -",,None (or less
,INSTITUTIONAL,,"$50,000 ",,than $201)
6.32,ISHARES MSCI EAFE ETF,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.33,VANGUARD FTSE EMERGING MARKETS ETF,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.34,AQR MANAGED FUTURES STRATEGY FUND,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.35,BLACKROCK GLOBAL LONG/SHORT CREDIT,N/A,"$15,001 -",,None (or less
,FUND CLASS INS 1833,,"$50,000 ",,than $201)
6.36,BOSTON PARTNERS LONG/SHORT,N/A,"$15,001 -",,None (or less
,RESEARCH FUND CLASS INS 83,,"$50,000 ",,than $201)
6.37,EATON VANCE GLOBAL MACRO ABSOLUTE,N/A,"$1,001 - $15,000",,None (or less
,RETURN FUND CLASS I 0088,,,,than $201)
6.38,THE MERGER FUND CLASS INST 301,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
6.39,E-TRACS ALERIAN MLP INFRASTRUCTURE,N/A,"$1,001 - $15,000",,None (or less
,ETN,,,,than $201)
6.4,POWERSHARES DB COMMODITY INDEX,N/A,"$15,001 -",,None (or less
,,,"$50,000 ",,than $201)
6.41,SPDR DJ WILSHIRE INTERNATIONAL REAL,N/A,"$15,001 -",,None (or less
,ESTATE ETF,,"$50,000 ",,than $201)
6.42,VANGUARD REIT VIPER,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
7,O/G Royalties,,"$15,001 -",Rent or,"$15,001 -"
,,,"$50,000 ",Royalties,"$50,000 "
8,MARY SUE HOLLADAY TRUST,,"$250,001 -",Dividends,"$1,001 - $2,500"
,,,"$500,000 ",Interest,
8.1,BANK OF AMERICA MONEY MARKET,N/A,"$1,001 - $15,000",,None (or less
,SAVINGS ACCT,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
8.2,ALTRIA GROUP INC,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
8.3,APPLE INC,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.4,BLACKROCK INC CLA,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.5,BOEING CO,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.6,CAPITAL ONE FINL CORP,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.7,CHEVRON CORP,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
8.8,CISCO SYS INC,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.9,DISNEY WALT CO COM DISNEY,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
8.1,EXXON MOBIL,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
8.11,FACEBOOK INC CLA COM,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
8.12,GENERAL ELECTRIC CO,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.13,INTERNATIONAL BUSINESS MACHINES,N/A,"$15,001 -",Dividends,"$2,501 - $5,000"
,,,"$50,000 ",,
8.14,JP MORGAN CHASE,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.15,JOHNSON & JOHNSON,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.16,KRAFT HEINZ CORP,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.17,LOCKHEED MARTIN CORP,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
8.18,MASTERCARD INC CLA COM,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
8.19,MICROSOFT CORP,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
8.2,MONDELEZ INTL INC,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.21,MONSANTO CO NEW COM,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.22,OCCIDENTAL PETE CORP DEL,N/A,None (or less,,None (or less
,,,"than $1,001)",,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
8.23,PHILIP MORRIS INTL INC,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.24,PROCTER & GAMBLE CO,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.25,SCHLUMBERGER LTD CURACAO,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.26,STARBUCKS CORP,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.27,THERMO FISHER SCIENTIFIC CORP,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
8.28,VISA INC CLA COM,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
8.29,WELLS FARGO & CO NEW COM,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.3,3M COM,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.31,AMERICAN WTR WKS CO INC NEW COM,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.32,ISHARES RUSSELL MID-CAP GROWTH ETF,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
8.33,ROCKWELL AUTOMATION INC,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
8.34,ISHARES RUSSELL 2000 GROWTH ETF,N/A,"$15,001 -",Dividends,"$201 - $1,000"
,,,"$50,000 ",,
8.35,BP PLC SPONSORED ADR UK,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
8.36,MEDTRONIC PLC IRELAND,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.37,NESTLE SA SPONSORED ADR SWITZ,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
8.38,ISHARES CORE MSCI EMERGING MKTS ETF,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
8.39,ISHARES INTERMEDIATE CR BD ETF,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.4,ISHARES 1-3 YR CR BD ETF,N/A,"$15,001 -",Dividends,"$1,001 - $2,500"
,,,"$50,000 ",,
8.41,VANGUARD REIT ETF,N/A,"$1,001 - $15,000",Dividends,"$1,001 - $2,500"
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
8.42,Bard C.R. Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
9,Joint Savings Account,N/A,"$50,001 -",Interest,"$201 - $1,000"
,,,"$100,000 ",,
10,JAMES G. TIMOLAT JR TRUST,,"$250,001 -",Dividends,"$15,001 -"
,,,"$500,000 ",Capital Gains,"$50,000 "
,,,,Interest,
10.1,Google Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.2,Google Inc. - Class A Common Stock,N/A,None (or less,,None (or less
,,,"than $1,001)",,than $201)
10.3,Apple Inc. - Common Stock,N/A,"$1,001 - $15,000",,"$201 - $1,000"
10.4,CVS Caremark Corp.,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.5,Exxon Mobil Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.6,Intl Business Machines Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.7,Johnson & Johnson,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.8,JPM EQ INC (HLIEX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.9,JPM LARGE CAP GRTH (SEEGX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.1,Norfolk Southern Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.11,Praxair Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.12,Schlumberger Ltd,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.13,SPDR S&P 500,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
10.14,United Technologies Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
10.15,Walt Disney Co,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.16,iShares S&P MidCap 400 Index,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.17,JPM MIDCAP VALUE (FLMVX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.18,ASTON/PICTET INTL (APCTX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.19,CAPITAL GROWTH NON US (CNUSX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.2,DEUTSCHE MSCI EAF (DBEF),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.21,DODGE & COX INTL (DODFX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.22,iShares MSCI EAFE Index,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.23,BROWN ADV JAPAN ALPHA OPP (BAFJX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.24,JPM GLBL RES ENH (JEITX),Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
10.25,EQUINOX FDS TR (EQIPX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.26,EQUINOX CAMPBELL (EBSI),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.27,GATEWAY FD (GTEYX),Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
10.28,PIMCO Unconstrained Bond Inst,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.29,Prudential Absolute Return Bond Z,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.3,DODGE & COX INCOME FUN,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.31,Harbor High-Yield Bond Inv,Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
10.32,JPM UNCONSTRAINED DEBT FD,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
10.33,JPM INTER TAX FREE,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
10.34,JPM TAX AWARE,Yes,"$1,001 - $15,000",,"$201 - $1,000"
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
10.35,JPM SH INT MUNI BND,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.36,DOUBLELINE TOT RTN BOND,Yes,"$1,001 - $15,000",,"$201 - $1,000"
10.37,MFS EMERG MKTS,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11,MARIE LEONIE TIMOLAT TRUST,,"$250,001 -",Dividends,"$2,501 - $5,000"
,,,"$500,000 ",Capital Gains,
,,,,Interest,
11.1,Nuveen VA Municipal Bond I,Yes,"$15,001 -",,"$1,001 - $2,500"
,,,"$50,000 ",,
11.2,T. Rowe Price Tax-Free High Yield,Yes,"$1,001 - $15,000",,"$201 - $1,000"
11.3,ASHMORE EMERG MKTS CORP DEBT,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.4,Comcast Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.5,LAS VEGAS SANDS CORP (LVS),N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.6,Target Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.7,TJX Cos Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.8,Walt Disney Co,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.9,CVS HEALTH CORP (CVS),N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.1,"The Hain Celestial Group, Inc. - Common",N/A,None (or less,,None (or less
,Stock,,"than $1,001)",,than $201)
11.11,AFFILIATED MANAGERS GROUP (AMG),N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.12,Ameriprise Financial Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.13,Berkshire Hathaway B,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
11.14,BlackRock Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.15,Citigroup Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.16,CME Group Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.17,JP Morgan Chase & Co,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.18,PNC Finl Services Group,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.19,"Gilead Sciences, Inc. - Common Stock",N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.2,McKesson Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.21,Merck & Co Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.22,Thermo Fisher Scientific,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.23,Unitedhealth Group Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.24,Boeing Co,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.25,Cummins Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.26,Union Pacific Corp,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.27,Google Inc,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.28,Apple Inc. - Common Stock,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.29,"Cisco Systems, Inc. - Common Stock",N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
11.3,Cognizant Technology Solutions Corporation,N/A,"$1,001 - $15,000",,None (or less
,#NAME?,,,,than $201)
11.31,Microsoft Corporation - Common Stock,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.32,CELANESE CORP,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.33,Monsanto Co.,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.34,DIAGIO PLC,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.35,Eaton Corp plc,N/A,None (or less,,None (or less
,,,"than $1,001)",,than $201)
11.36,MANULIFE FIN CORP,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.37,ROCHE HOLDINGS,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.38,Schlumberger Ltd,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.39,SUNCOR ENERGY,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.4,TOTAL SA ADR,N/A,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.41,CALVERT SOCIAL FND (CEYIX),Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
11.42,HARTFORD MIDCAP FUND (HMDYX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
11.43,Vanguard Russell 2000 Value ETF,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.44,iShares S&P SmallCap 600 Growth,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.45,Touchstone Mid Cap Value Inst,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME
,,,,,AMOUNT
11.46,Aberdeen Emerging Markets Instl,Yes,"$1,001 - $15,000",,None (or less
,,,,,than $201)
11.47,iShares MSCI EAFE Index,Yes,"$15,001 -",,"$201 - $1,000"
,,,"$50,000 ",,
